orth11046: Bcur|XP_011197057.1 Bdor|XP_011203026.1 Bole|XP_014088718.1 Ccap|XP_004536939.1
orth10319: Bcur|XP_011195448.1 Bdor|XP_011197589.1 Bole|XP_014094069.1 Ccap|XP_004524191.2
orth10318: Bcur|XP_011195447.1 Bdor|XP_011197588.1 Bole|XP_014094071.1 Ccap|XP_004524166.1
orth10311: Bcur|XP_011195431.1 Bdor|XP_011197574.1 Bole|XP_014098894.1 Ccap|XP_004524194.1
orth10310: Bcur|XP_011195429.1 Bdor|XP_011205675.1 Bole|XP_014096998.1 Ccap|XP_004522402.1
orth10313: Bcur|XP_011195440.1 Bdor|XP_011197581.1 Bole|XP_014094077.1 Ccap|XP_004524177.1
orth10312: Bcur|XP_011195434.1 Bdor|XP_011197576.1 Bole|XP_014098888.1 Ccap|XP_004524178.1
orth10315: Bcur|XP_011195442.1 Bdor|XP_011197583.1 Bole|XP_014094072.1 Ccap|XP_004524171.1
orth10314: Bcur|XP_011195441.1 Bdor|XP_011197582.1 Bole|XP_014094065.1 Ccap|XP_004524174.1
orth10317: Bcur|XP_011195445.1 Bdor|XP_011197584.1 Bole|XP_014094074.1 Ccap|XP_004524170.1
orth10316: Bcur|XP_011195443.1 Bdor|XP_011197586.1 Bole|XP_014094076.1 Ccap|XP_004524169.1
orth10758: Bcur|XP_011196389.1 Bdor|XP_011209591.1 Bole|XP_014102355.1 Ccap|XP_004526517.1
orth10272: Bcur|XP_011195282.1 Bdor|XP_011211447.1 Bole|XP_014095106.1 Ccap|XP_004530425.1
orth10273: Bcur|XP_011195309.1 Bdor|XP_011202435.1 Bole|XP_014094429.1 Ccap|XP_004526136.1
orth10270: Bcur|XP_011195276.1 Bdor|XP_011209284.1 Bole|XP_014093474.1 Ccap|XP_012158880.1
orth10271: Bcur|XP_011195279.1 Bdor|XP_011201615.1 Bole|XP_014099159.1 Ccap|XP_004535415.1
orth10276: Bcur|XP_011195318.1 Bdor|XP_011200683.1 Bole|XP_014101307.1 Ccap|XP_004529535.1
orth10277: Bcur|XP_011195320.1 Bdor|XP_011198303.1 Bole|XP_014099892.1 Ccap|XP_004524357.1
orth10274: Bcur|XP_011195315.1 Bdor|XP_011214113.1 Bole|XP_014095754.1 Ccap|XP_004520177.1
orth10275: Bcur|XP_011195317.1 Bdor|XP_011214225.1 Bole|XP_014103141.1 Ccap|XP_004521900.1
orth10278: Bcur|XP_011195326.1 Bdor|XP_011213463.1 Bole|XP_014099897.1 Ccap|XP_012156646.1
orth10279: Bcur|XP_011195327.1 Bdor|XP_011214481.1 Bole|XP_014096948.1 Ccap|XP_004526133.1
orth9386: Bcur|XP_011192857.1 Bdor|XP_011200323.1 Bole|XP_014100616.1 Ccap|XP_004521598.1
orth9248: Bcur|XP_011192517.1 Bdor|XP_011209540.1 Bole|XP_014093791.1 Ccap|XP_004518198.1
orth9249: Bcur|XP_011192518.1 Bdor|XP_011209535.1 Bole|XP_014093790.1 Ccap|XP_004518197.1
orth9246: Bcur|XP_011192512.1 Bdor|XP_011209531.1 Bole|XP_014093777.1 Ccap|XP_004518194.1
orth9247: Bcur|XP_011192514.1 Bdor|XP_011209536.1 Bole|XP_014093786.1 Ccap|XP_004518352.2
orth9244: Bcur|XP_011192508.1 Bdor|XP_011209530.1 Bole|XP_014093776.1 Ccap|XP_004518193.1
orth9245: Bcur|XP_011192510.1 Bdor|XP_011209534.1 Bole|XP_014093783.1 Ccap|XP_004518196.1
orth9242: Bcur|XP_011192502.1 Bdor|XP_011208170.1 Bole|XP_014099617.1 Ccap|XP_004524729.1
orth9243: Bcur|XP_011192504.1 Bdor|XP_011197542.1 Bole|XP_014099615.1 Ccap|XP_004524727.1
orth9240: Bcur|XP_011192500.1 Bdor|XP_011208221.1 Bole|XP_014097123.1 Ccap|XP_004524830.1
orth9241: Bcur|XP_011192501.1 Bdor|XP_011208206.1 Bole|XP_014098046.1 Ccap|XP_004524829.1
orth2179: Bcur|XP_011176907.1 Bdor|XP_011211821.1 Bole|XP_014092547.1 Ccap|XP_012158529.1
orth2178: Bcur|XP_011176906.1 Bdor|XP_011211819.1 Bole|XP_014092485.1 Ccap|XP_004518393.1
orth2175: Bcur|XP_011176902.1 Bdor|XP_011208013.1 Bole|XP_014097466.1 Ccap|XP_012155641.1
orth2174: Bcur|XP_011176901.1 Bdor|XP_011211844.1 Bole|XP_014094035.1 Ccap|XP_004518397.1
orth2177: Bcur|XP_011176904.1 Bdor|XP_011211839.1 Bole|XP_014093379.1 Ccap|XP_004518395.1
orth2176: Bcur|XP_011176903.1 Bdor|XP_011211842.1 Bole|XP_014093367.1 Ccap|XP_004518396.1
orth2171: Bcur|XP_011176893.1 Bdor|XP_011211854.1 Bole|XP_014094012.1 Ccap|XP_004518403.1
orth2170: Bcur|XP_011176892.1 Bdor|XP_011211853.1 Bole|XP_014094001.1 Ccap|XP_012158540.1
orth2173: Bcur|XP_011176896.1 Bdor|XP_011211846.1 Bole|XP_014093535.1 Ccap|XP_012158535.1
orth2172: Bcur|XP_011176894.1 Bdor|XP_011211851.1 Bole|XP_014093982.1 Ccap|XP_012158536.1
orth5679: Bcur|XP_011184718.1 Bdor|XP_011211013.1 Bole|XP_014100797.1 Ccap|XP_004526721.1
orth5639: Bcur|XP_011184648.1 Bdor|XP_011206207.1 Bole|XP_014090204.1 Ccap|XP_004534827.1
orth10581: Bcur|XP_011195990.1 Bdor|XP_011203690.1 Bole|XP_014100863.1 Ccap|XP_012157253.1
orth7435: Bcur|XP_011188655.1 Bdor|XP_011214364.1 Bole|XP_014099044.1 Ccap|XP_012154724.1
orth9194: Bcur|XP_011192365.1 Bdor|XP_011201718.1 Bole|XP_014085687.1 Ccap|XP_004522791.1
orth6416: Bcur|XP_011186457.1 Bdor|XP_011199605.1 Bole|XP_014087147.1 Ccap|XP_004536402.1
orth6417: Bcur|XP_011186458.1 Bdor|XP_011199602.1 Bole|XP_014087094.1 Ccap|XP_004536494.1
orth6414: Bcur|XP_011186454.1 Bdor|XP_011199607.1 Bole|XP_014087091.1 Ccap|XP_004536400.1
orth6415: Bcur|XP_011186455.1 Bdor|XP_011199606.1 Bole|XP_014087131.1 Ccap|XP_004536401.1
orth6412: Bcur|XP_011186452.1 Bdor|XP_011199609.1 Bole|XP_014087151.1 Ccap|XP_004536398.1
orth6413: Bcur|XP_011186453.1 Bdor|XP_011199608.1 Bole|XP_014087087.1 Ccap|XP_004536399.1
orth6410: Bcur|XP_011186450.1 Bdor|XP_011199614.1 Bole|XP_014087114.1 Ccap|XP_004536493.1
orth6411: Bcur|XP_011186451.1 Bdor|XP_011199610.1 Bole|XP_014087085.1 Ccap|XP_004536396.1
orth6418: Bcur|XP_011186461.1 Bdor|XP_011212807.1 Bole|XP_014094237.1 Ccap|XP_012156803.1
orth6419: Bcur|XP_011186463.1 Bdor|XP_011199603.1 Bole|XP_014087098.1 Ccap|XP_004536495.1
orth3334: Bcur|XP_011179371.1 Bdor|XP_011206531.1 Bole|XP_014102073.1 Ccap|XP_004517757.1
orth3335: Bcur|XP_011179372.1 Bdor|XP_011206528.1 Bole|XP_014102018.1 Ccap|XP_012155873.1
orth3336: Bcur|XP_011179373.1 Bdor|XP_011206523.1 Bole|XP_014102229.1 Ccap|XP_004517759.1
orth3337: Bcur|XP_011179374.1 Bdor|XP_011206524.1 Bole|XP_014102224.1 Ccap|XP_004517760.1
orth3330: Bcur|XP_011179364.1 Bdor|XP_011200282.1 Bole|XP_014088446.1 Ccap|XP_004522098.1
orth3331: Bcur|XP_011179365.1 Bdor|XP_011206520.1 Bole|XP_014102114.1 Ccap|XP_012155447.1
orth3332: Bcur|XP_011179368.1 Bdor|XP_011206522.1 Bole|XP_014102227.1 Ccap|XP_004517761.1
orth3333: Bcur|XP_011179370.1 Bdor|XP_011206530.1 Bole|XP_014102072.1 Ccap|XP_004517758.1
orth3338: Bcur|XP_011179375.1 Bdor|XP_011200277.1 Bole|XP_014088435.1 Ccap|XP_012155530.1
orth3339: Bcur|XP_011179376.1 Bdor|XP_011206533.1 Bole|XP_014102168.1 Ccap|XP_004517756.1
orth3628: Bcur|XP_011180038.1 Bdor|XP_011204992.1 Bole|XP_014099509.1 Ccap|XP_012160109.1
orth3629: Bcur|XP_011180041.1 Bdor|XP_011199647.1 Bole|XP_014089632.1 Ccap|XP_012154978.1
orth7846: Bcur|XP_011189515.1 Bdor|XP_011208337.1 Bole|XP_014094926.1 Ccap|XP_012158335.1
orth4818: Bcur|XP_011182650.1 Bdor|XP_011197366.1 Bole|XP_014092016.1 Ccap|XP_004536860.1
orth4819: Bcur|XP_011182658.1 Bdor|XP_011203663.1 Bole|XP_014095157.1 Ccap|XP_012159457.1
orth7847: Bcur|XP_011189518.1 Bdor|XP_011208339.1 Bole|XP_014099322.1 Ccap|XP_012158321.1
orth4814: Bcur|XP_011182645.1 Bdor|XP_011197385.1 Bole|XP_014096329.1 Ccap|XP_012161917.1
orth4815: Bcur|XP_011182646.1 Bdor|XP_011197372.1 Bole|XP_014096325.1 Ccap|XP_004536858.1
orth4816: Bcur|XP_011182647.1 Bdor|XP_011197371.1 Bole|XP_014096326.1 Ccap|XP_004536859.1
orth4817: Bcur|XP_011182649.1 Bdor|XP_011197384.1 Bole|XP_014096328.1 Ccap|XP_012161918.1
orth4810: Bcur|XP_011182640.1 Bdor|XP_011197377.1 Bole|XP_014095261.1 Ccap|XP_012160423.1
orth4811: Bcur|XP_011182641.1 Bdor|XP_011197376.1 Bole|XP_014095257.1 Ccap|XP_004534171.1
orth4812: Bcur|XP_011182642.1 Bdor|XP_011197374.1 Bole|XP_014100462.1 Ccap|XP_012160422.1
orth4813: Bcur|XP_011182644.1 Bdor|XP_011197373.1 Bole|XP_014096330.1 Ccap|XP_012160471.1
orth9888: Bcur|XP_011194131.1 Bdor|XP_011200335.1 Bole|XP_014100826.1 Ccap|XP_012156172.1
orth2272: Bcur|XP_011177092.1 Bdor|XP_011203277.1 Bole|XP_014095453.1 Ccap|XP_004519206.1
orth6678: Bcur|XP_011187049.1 Bdor|XP_011197696.1 Bole|XP_014093868.1 Ccap|XP_004529411.1
orth6679: Bcur|XP_011187050.1 Bdor|XP_011197697.1 Bole|XP_014093857.1 Ccap|XP_004529412.1
orth2273: Bcur|XP_011177094.1 Bdor|XP_011203280.1 Bole|XP_014095455.1 Ccap|XP_004519202.1
orth6672: Bcur|XP_011187033.1 Bdor|XP_011213450.1 Bole|XP_014101018.1 Ccap|XP_004525090.1
orth6673: Bcur|XP_011187035.1 Bdor|XP_011213451.1 Bole|XP_014095531.1 Ccap|XP_004525146.1
orth6670: Bcur|XP_011187030.1 Bdor|XP_011197732.1 Bole|XP_014092990.1 Ccap|XP_004525144.1
orth6671: Bcur|XP_011187031.1 Bdor|XP_011197707.1 Bole|XP_014092989.1 Ccap|XP_004525088.1
orth6676: Bcur|XP_011187042.1 Bdor|XP_011197691.1 Bole|XP_014093859.1 Ccap|XP_012158696.1
orth2270: Bcur|XP_011177090.1 Bdor|XP_011203279.1 Bole|XP_014095445.1 Ccap|XP_004519204.1
orth6674: Bcur|XP_011187039.1 Bdor|XP_011197689.1 Bole|XP_014093856.1 Ccap|XP_012158693.1
orth6675: Bcur|XP_011187041.1 Bdor|XP_011211088.1 Bole|XP_014100176.1 Ccap|XP_004524584.2
orth2271: Bcur|XP_011177091.1 Bdor|XP_011203278.1 Bole|XP_014095444.1 Ccap|XP_004519208.1
orth7840: Bcur|XP_011189508.1 Bdor|XP_011214661.1 Bole|XP_014096035.1 Ccap|XP_004518230.1
orth2276: Bcur|XP_011177100.1 Bdor|XP_011203295.1 Bole|XP_014097933.1 Ccap|XP_004519191.1
orth7841: Bcur|XP_011189509.1 Bdor|XP_011214662.1 Bole|XP_014096034.1 Ccap|XP_004518229.1
orth2277: Bcur|XP_011177103.1 Bdor|XP_011203293.1 Bole|XP_014097937.1 Ccap|XP_004519195.1
orth9466: Bcur|XP_011193021.1 Bdor|XP_011203556.1 Bole|XP_014098552.1 Ccap|XP_004519344.1
orth2274: Bcur|XP_011177098.1 Bdor|XP_011203299.1 Bole|XP_014097930.1 Ccap|XP_004519196.1
orth9467: Bcur|XP_011193022.1 Bdor|XP_011204055.1 Bole|XP_014085827.1 Ccap|XP_004523087.1
orth2275: Bcur|XP_011177099.1 Bdor|XP_011203301.1 Bole|XP_014097932.1 Ccap|XP_004519197.1
orth9039: Bcur|XP_011191985.1 Bdor|XP_011209560.1 Bole|XP_014097795.1 Ccap|XP_004518217.1
orth9038: Bcur|XP_011191983.1 Bdor|XP_011214643.1 Bole|XP_014100602.1 Ccap|XP_004518222.1
orth9461: Bcur|XP_011193006.1 Bdor|XP_011202115.1 Bole|XP_014090732.1 Ccap|XP_004526409.1
orth9479: Bcur|XP_011193050.1 Bdor|XP_011206839.1 Bole|XP_014091494.1 Ccap|XP_004520240.1
orth9478: Bcur|XP_011193049.1 Bdor|XP_011206837.1 Bole|XP_014091492.1 Ccap|XP_004520241.1
orth9468: Bcur|XP_011193024.1 Bdor|XP_011214566.1 Bole|XP_014098551.1 Ccap|XP_004519345.1
orth9471: Bcur|XP_011193033.1 Bdor|XP_011204054.1 Bole|XP_014085897.1 Ccap|XP_012156017.1
orth9470: Bcur|XP_011193032.1 Bdor|XP_011200928.1 Bole|XP_014092871.1 Ccap|XP_004520248.1
orth9473: Bcur|XP_011193035.1 Bdor|XP_011206830.1 Bole|XP_014091484.1 Ccap|XP_012163000.1
orth9469: Bcur|XP_011193025.1 Bdor|XP_011204024.1 Bole|XP_014099070.1 Ccap|XP_012162506.1
orth9475: Bcur|XP_011193037.1 Bdor|XP_011206834.1 Bole|XP_014091471.1 Ccap|XP_012162999.1
orth9474: Bcur|XP_011193036.1 Bdor|XP_011206836.1 Bole|XP_014091472.1 Ccap|XP_004520245.1
orth9477: Bcur|XP_011193045.1 Bdor|XP_011204157.1 Bole|XP_014085896.1 Ccap|XP_012156018.1
orth9476: Bcur|XP_011193039.1 Bdor|XP_011206833.1 Bole|XP_014091491.1 Ccap|XP_004520243.2
orth2052: Bcur|XP_011176622.1 Bdor|XP_011208048.1 Bole|XP_014089279.1 Ccap|XP_004522284.1
orth7109: Bcur|XP_011187973.1 Bdor|XP_011200924.1 Bole|XP_014094619.1 Ccap|XP_004524259.1
orth7108: Bcur|XP_011187972.1 Bdor|XP_011200923.1 Bole|XP_014094618.1 Ccap|XP_012156611.1
orth2053: Bcur|XP_011176623.1 Bdor|XP_011208363.1 Bole|XP_014094977.1 Ccap|XP_012161980.1
orth7103: Bcur|XP_011187963.1 Bdor|XP_011209088.1 Bole|XP_014089251.1 Ccap|XP_012160638.1
orth7102: Bcur|XP_011187962.1 Bdor|XP_011209084.1 Bole|XP_014089241.1 Ccap|XP_004534565.1
orth7101: Bcur|XP_011187961.1 Bdor|XP_011209090.1 Bole|XP_014089219.1 Ccap|XP_004534569.1
orth7100: Bcur|XP_011187960.1 Bdor|XP_011209091.1 Bole|XP_014089223.1 Ccap|XP_004534568.1
orth7107: Bcur|XP_011187970.1 Bdor|XP_011209148.1 Bole|XP_014096117.1 Ccap|XP_012160648.1
orth2050: Bcur|XP_011176620.1 Bdor|XP_011208143.1 Bole|XP_014101073.1 Ccap|XP_004537070.1
orth7105: Bcur|XP_011187966.1 Bdor|XP_011209085.1 Bole|XP_014089242.1 Ccap|XP_004534564.1
orth7104: Bcur|XP_011187965.1 Bdor|XP_011202158.1 Bole|XP_014092857.1 Ccap|XP_004522460.1
orth2051: Bcur|XP_011176621.1 Bdor|XP_011208142.1 Bole|XP_014095386.1 Ccap|XP_004537069.1
orth4108: Bcur|XP_011181044.1 Bdor|XP_011205323.1 Bole|XP_014093228.1 Ccap|XP_004533642.1
orth4109: Bcur|XP_011181045.1 Bdor|XP_011205326.1 Bole|XP_014093233.1 Ccap|XP_004533645.1
orth4106: Bcur|XP_011181041.1 Bdor|XP_011205322.1 Bole|XP_014093212.1 Ccap|XP_004533641.1
orth4107: Bcur|XP_011181043.1 Bdor|XP_011205324.1 Bole|XP_014093235.1 Ccap|XP_004533712.1
orth4104: Bcur|XP_011181039.1 Bdor|XP_011205320.1 Bole|XP_014093208.1 Ccap|XP_004533639.1
orth4105: Bcur|XP_011181040.1 Bdor|XP_011205321.1 Bole|XP_014093261.1 Ccap|XP_004533640.2
orth4102: Bcur|XP_011181037.1 Bdor|XP_011205318.1 Bole|XP_014093242.1 Ccap|XP_004533637.1
orth4103: Bcur|XP_011181038.1 Bdor|XP_011205319.1 Bole|XP_014093254.1 Ccap|XP_004533638.1
orth4100: Bcur|XP_011181034.1 Bdor|XP_011199459.1 Bole|XP_014099657.1 Ccap|XP_004537951.1
orth4101: Bcur|XP_011181036.1 Bdor|XP_011205315.1 Bole|XP_014093246.1 Ccap|XP_004533636.1
orth2054: Bcur|XP_011176624.1 Bdor|XP_011208362.1 Bole|XP_014094982.1 Ccap|XP_012161979.1
orth2055: Bcur|XP_011176627.1 Bdor|XP_011207783.1 Bole|XP_014099921.1 Ccap|XP_004524630.1
orth9093: Bcur|XP_011192130.1 Bdor|XP_011202384.1 Bole|XP_014102327.1 Ccap|XP_004523969.1
orth7037: Bcur|XP_011187830.1 Bdor|XP_011214560.1 Bole|XP_014102530.1 Ccap|XP_004523905.1
orth7036: Bcur|XP_011187829.1 Bdor|XP_011214561.1 Bole|XP_014102529.1 Ccap|XP_004523906.1
orth7035: Bcur|XP_011187828.1 Bdor|XP_011214559.1 Bole|XP_014102349.1 Ccap|XP_012156413.1
orth5736: Bcur|XP_011184859.1 Bdor|XP_011199164.1 Bole|XP_014096654.1 Ccap|XP_004529198.1
orth7034: Bcur|XP_011187827.1 Bdor|XP_011214556.1 Bole|XP_014102335.1 Ccap|XP_004523901.1
orth5737: Bcur|XP_011184860.1 Bdor|XP_011198454.1 Bole|XP_014097050.1 Ccap|XP_004529197.1
orth7033: Bcur|XP_011187825.1 Bdor|XP_011214557.1 Bole|XP_014102536.1 Ccap|XP_004523902.1
orth5734: Bcur|XP_011184851.1 Bdor|XP_011198450.1 Bole|XP_014096933.1 Ccap|XP_004529247.1
orth7032: Bcur|XP_011187824.1 Bdor|XP_011200465.1 Bole|XP_014100471.1 Ccap|XP_004522162.1
orth5735: Bcur|XP_011184854.1 Bdor|XP_011198452.1 Bole|XP_014098765.1 Ccap|XP_004529245.1
orth7031: Bcur|XP_011187823.1 Bdor|XP_011214553.1 Bole|XP_014102342.1 Ccap|XP_004524098.1
orth6526: Bcur|XP_011186704.1 Bdor|XP_011201921.1 Bole|XP_014099303.1 Ccap|XP_012160391.1
orth5730: Bcur|XP_011184828.1 Bdor|XP_011198438.1 Bole|XP_014098431.1 Ccap|XP_012158629.1
orth6527: Bcur|XP_011186712.1 Bdor|XP_011201931.1 Bole|XP_014091593.1 Ccap|XP_012160389.1
orth5731: Bcur|XP_011184841.1 Bdor|XP_011198440.1 Bole|XP_014098377.1 Ccap|XP_012158623.1
orth6524: Bcur|XP_011186693.1 Bdor|XP_011201920.1 Bole|XP_014099305.1 Ccap|XP_004534070.1
orth2412: Bcur|XP_011177359.1 Bdor|XP_011205081.1 Bole|XP_014096366.1 Ccap|XP_012155620.1
orth2413: Bcur|XP_011177360.1 Bdor|XP_011208456.1 Bole|XP_014095342.1 Ccap|XP_004529622.1
orth2410: Bcur|XP_011177357.1 Bdor|XP_011208458.1 Bole|XP_014095354.1 Ccap|XP_004529624.1
orth2411: Bcur|XP_011177358.1 Bdor|XP_011208457.1 Bole|XP_014095355.1 Ccap|XP_004529623.1
orth2416: Bcur|XP_011177364.1 Bdor|XP_011208452.1 Bole|XP_014095338.1 Ccap|XP_012158834.1
orth2417: Bcur|XP_011177369.1 Bdor|XP_011204429.1 Bole|XP_014094420.1 Ccap|XP_004529819.1
orth2414: Bcur|XP_011177361.1 Bdor|XP_011208455.1 Bole|XP_014095337.1 Ccap|XP_004529619.1
orth2415: Bcur|XP_011177362.1 Bdor|XP_011208453.1 Bole|XP_014095340.1 Ccap|XP_004529617.1
orth8300: Bcur|XP_011190464.1 Bdor|XP_011207059.1 Bole|XP_014103145.1 Ccap|XP_004521904.1
orth6522: Bcur|XP_011186688.1 Bdor|XP_011201915.1 Bole|XP_014097390.1 Ccap|XP_004534073.1
orth2418: Bcur|XP_011177370.1 Bdor|XP_011208577.1 Bole|XP_014087703.1 Ccap|XP_012158919.1
orth2419: Bcur|XP_011177371.1 Bdor|XP_011204935.1 Bole|XP_014094684.1 Ccap|XP_004522481.1
orth8304: Bcur|XP_011190471.1 Bdor|XP_011204446.1 Bole|XP_014087173.1 Ccap|XP_004525196.1
orth4647: Bcur|XP_011182277.1 Bdor|XP_011208000.1 Bole|XP_014087007.1 Ccap|XP_012162156.1
orth8306: Bcur|XP_011190473.1 Bdor|XP_011204447.1 Bole|XP_014087183.1 Ccap|XP_004525722.2
orth6523: Bcur|XP_011186692.1 Bdor|XP_011201951.1 Bole|XP_014099304.1 Ccap|XP_004534098.1
orth8902: Bcur|XP_011191684.1 Bdor|XP_011204889.1 Bole|XP_014092164.1 Ccap|XP_004536009.1
orth8903: Bcur|XP_011191685.1 Bdor|XP_011204888.1 Bole|XP_014092158.1 Ccap|XP_004535914.1
orth8900: Bcur|XP_011191681.1 Bdor|XP_011214423.1 Bole|XP_014095169.1 Ccap|XP_012160617.1
orth4646: Bcur|XP_011182271.1 Bdor|XP_011208450.1 Bole|XP_014087002.1 Ccap|XP_012162161.1
orth8906: Bcur|XP_011191692.1 Bdor|XP_011198848.1 Bole|XP_014085412.1 Ccap|XP_004524989.1
orth6520: Bcur|XP_011186685.1 Bdor|XP_011201919.1 Bole|XP_014097395.1 Ccap|XP_004534100.1
orth8904: Bcur|XP_011191686.1 Bdor|XP_011204887.1 Bole|XP_014092162.1 Ccap|XP_004535915.2
orth8905: Bcur|XP_011191691.1 Bdor|XP_011198851.1 Bole|XP_014085410.1 Ccap|XP_004524986.1
orth4641: Bcur|XP_011182240.1 Bdor|XP_011208435.1 Bole|XP_014086983.1 Ccap|XP_012162166.1
orth8908: Bcur|XP_011191709.1 Bdor|XP_011198852.1 Bole|XP_014085353.1 Ccap|XP_004524984.1
orth6521: Bcur|XP_011186686.1 Bdor|XP_011201917.1 Bole|XP_014097392.1 Ccap|XP_012160402.1
orth4640: Bcur|XP_011182236.1 Bdor|XP_011208436.1 Bole|XP_014086998.1 Ccap|XP_004537428.1
orth4642: Bcur|XP_011182242.1 Bdor|XP_011208434.1 Bole|XP_014086982.1 Ccap|XP_004537625.1
orth9199: Bcur|XP_011192380.1 Bdor|XP_011201702.1 Bole|XP_014085680.1 Ccap|XP_004522943.1
