orth2333: Afra|m.10026 Aobl|m.12854 Asus|M.10026_R0 Bcor|m.49852 Bcur|XP_011176775.1 Bdor|XP_011207020.1 Bjar|m.26921 Blat|m.41225 Bmin|m.16652 Bole|XP_014097011.1 Btry|M.41225_R0 Bzon|m.21935 Ccap|XP_004523616.1
orth2377: Afra|m.1199 Aobl|m.6644 Asus|M.1199_R0 Bcor|m.34836 Bcur|XP_011192149.1 Bdor|XP_011200709.1 Bjar|m.26758 Blat|m.17687 Bmin|m.11146 Bole|XP_014099754.1 Btry|M.17687_R0 Bzon|m.392 Ccap|XP_012160598.1
orth2380: Afra|m.12001 Aobl|m.27707 Asus|M.12001_R0 Bcor|m.30369 Bcur|XP_011187899.1 Bdor|XP_011198899.1 Bjar|m.26796 Blat|m.25946 Bmin|m.15555 Bole|XP_014102494.1 Btry|M.25946_R0 Bzon|m.18284 Ccap|XP_004523945.1
orth2389: Afra|m.1232 Aobl|m.18063 Asus|M.1232_R0 Bcor|m.14289 Bcur|XP_011196198.1 Bdor|XP_011201636.1 Bjar|m.19480 Blat|m.30730 Bmin|m.5844 Bole|XP_014094312.1 Btry|M.30730_R0 Bzon|m.21691 Ccap|XP_004525595.1
orth2392: Afra|m.12440 Aobl|m.22479 Asus|M.12440_R0 Bcor|m.49105 Bcur|XP_011176465.1 Bdor|XP_011208229.1 Bjar|m.7329 Blat|m.30048 Bmin|m.7737 Bole|XP_014087880.1 Btry|M.30048_R0 Bzon|m.55942 Ccap|XP_004518113.1
orth2393: Afra|m.12444 Aobl|m.12861 Asus|M.12444_R0 Bcor|m.38322 Bcur|XP_011189503.1 Bdor|XP_011200392.1 Bjar|m.3150 Blat|m.19151 Bmin|m.7071 Bole|XP_014099122.1 Btry|M.19151_R0 Bzon|m.17375 Ccap|XP_004522985.1
orth2395: Afra|m.12518 Aobl|m.10798 Asus|M.12518_R0 Bcor|m.16777 Bcur|XP_011180520.1 Bdor|XP_011201149.1 Bjar|m.3832 Blat|m.52314 Bmin|m.4326 Bole|XP_014085310.1 Btry|M.52314_R0 Bzon|m.16934 Ccap|XP_004529860.1
orth2398: Afra|m.12603 Aobl|m.8095 Asus|M.12603_R0 Bcor|m.11477 Bcur|XP_011197090.1 Bdor|XP_011210308.1 Bjar|m.13613 Blat|m.2370 Bmin|m.24150 Bole|XP_014088690.1 Btry|M.2370_R0 Bzon|m.52969 Ccap|XP_004537287.1
orth2405: Afra|m.13158 Aobl|m.9027 Asus|M.13158_R0 Bcor|m.1185 Bcur|XP_011192037.1 Bdor|XP_011204146.1 Bjar|m.7191 Blat|m.33261 Bmin|m.4726 Bole|XP_014086218.1 Btry|M.33261_R0 Bzon|m.3478 Ccap|XP_004533198.1
orth2406: Afra|m.132 Aobl|m.15818 Asus|M.132_R0 Bcor|m.13695 Bcur|XP_011182494.1 Bdor|XP_011209169.1 Bjar|m.17222 Blat|m.52839 Bmin|m.24658 Bole|XP_014089183.1 Btry|M.52839_R0 Bzon|m.47202 Ccap|XP_004537248.1
orth2407: Afra|m.13232 Aobl|m.6025 Asus|M.13231_R0 Bcor|m.28217 Bcur|XP_011191500.1 Bdor|XP_011210735.1 Bjar|m.2086 Blat|m.21699 Bmin|m.9467 Bole|XP_014099258.1 Btry|M.21699_R0 Bzon|m.1934 Ccap|XP_004521874.1
orth2408: Afra|m.13250 Aobl|m.8198 Asus|M.13250_R0 Bcor|m.17305 Bcur|XP_011191381.1 Bdor|XP_011214803.1 Bjar|m.2015 Blat|m.47584 Bmin|m.5963 Bole|XP_014085440.1 Btry|M.47584_R0 Bzon|m.41821 Ccap|XP_004524939.1
orth2409: Afra|m.13251 Aobl|m.13219 Asus|M.13251_R0 Bcor|m.35088 Bcur|XP_011186304.1 Bdor|XP_011207237.1 Bjar|m.21088 Blat|m.14047 Bmin|m.13187 Bole|XP_014093279.1 Btry|M.14047_R0 Bzon|m.31609 Ccap|XP_004535778.1
orth2411: Afra|m.13300 Aobl|m.23966 Asus|M.13300_R0 Bcor|m.41167 Bcur|XP_011178972.1 Bdor|XP_011202612.1 Bjar|m.15913 Blat|m.40323 Bmin|m.3704 Bole|XP_014100897.1 Btry|M.40323_R0 Bzon|m.21929 Ccap|XP_004529578.1
orth2412: Afra|m.13416 Aobl|m.22165 Asus|M.13416_R0 Bcor|m.28025 Bcur|XP_011180002.1 Bdor|XP_011199118.1 Bjar|m.18573 Blat|m.19286 Bmin|m.10334 Bole|XP_014099577.1 Btry|M.19286_R0 Bzon|m.6762 Ccap|XP_004521001.1
orth2414: Afra|m.13457 Aobl|m.19435 Asus|M.13457_R0 Bcor|m.36471 Bcur|XP_011181513.1 Bdor|XP_011205545.1 Bjar|m.12269 Blat|m.54101 Bmin|m.11799 Bole|XP_014102752.1 Btry|M.54101_R0 Bzon|m.25168 Ccap|XP_004533486.1
orth2415: Afra|m.13544 Aobl|m.14287 Asus|M.13544_R0 Bcor|m.34165 Bcur|XP_011177889.1 Bdor|XP_011208826.1 Bjar|m.11044 Blat|m.33827 Bmin|m.9961 Bole|XP_014103662.1 Btry|M.33827_R0 Bzon|m.5582 Ccap|XP_004537533.1
orth2416: Afra|m.13596 Aobl|m.25982 Asus|M.13596_R0 Bcor|m.20285 Bcur|XP_011181078.1 Bdor|XP_011205351.1 Bjar|m.7247 Blat|m.53247 Bmin|m.12395 Bole|XP_014099245.1 Btry|M.7044_R0 Bzon|m.35533 Ccap|XP_004533668.1
orth2417: Afra|m.13600 Aobl|m.18111 Asus|M.13600_R0 Bcor|m.48921 Bcur|XP_011180193.1 Bdor|XP_011198444.1 Bjar|m.20330 Blat|m.41364 Bmin|m.16712 Bole|XP_014085793.1 Btry|M.41364_R0 Bzon|m.22881 Ccap|XP_004520306.1
orth2419: Afra|m.13635 Aobl|m.15691 Asus|M.13635_R0 Bcor|m.10928 Bcur|XP_011191819.1 Bdor|XP_011198795.1 Bjar|m.21038 Blat|m.27036 Bmin|m.13502 Bole|XP_014098968.1 Btry|M.27036_R0 Bzon|m.37348 Ccap|XP_004534166.1
orth2420: Afra|m.13669 Aobl|m.12408 Asus|M.13669_R0 Bcor|m.31298 Bcur|XP_011192748.1 Bdor|XP_011197948.1 Bjar|m.15163 Blat|m.5650 Bmin|m.15706 Bole|XP_014099409.1 Btry|M.5650_R0 Bzon|m.24959 Ccap|XP_004520575.1
orth2421: Afra|m.1371 Aobl|m.17528 Asus|M.1371_R0 Bcor|m.24766 Bcur|XP_011177521.1 Bdor|XP_011207157.1 Bjar|m.6521 Blat|m.14990 Bmin|m.14217 Bole|XP_014085628.1 Btry|M.14990_R0 Bzon|m.46955 Ccap|XP_004529457.1
orth2422: Afra|m.13768 Aobl|m.26345 Asus|M.13768_R0 Bcor|m.1199 Bcur|XP_011183027.1 Bdor|XP_011203689.1 Bjar|m.7933 Blat|m.36605 Bmin|m.7600 Bole|XP_014095896.1 Btry|M.36605_R0 Bzon|m.40906 Ccap|XP_012157999.1
orth2425: Afra|m.13816 Aobl|m.3264 Asus|M.13816_R0 Bcor|m.30627 Bcur|XP_011191002.1 Bdor|XP_011197235.1 Bjar|m.18714 Blat|m.34516 Bmin|m.13058 Bole|XP_014087556.1 Btry|M.34516_R0 Bzon|m.1226 Ccap|XP_004533872.1
orth2426: Afra|m.13824 Aobl|m.10102 Asus|M.13824_R0 Bcor|m.28687 Bcur|XP_011188711.1 Bdor|XP_011205386.1 Bjar|m.5954 Blat|m.37354 Bmin|m.1297 Bole|XP_014101368.1 Btry|M.37354_R0 Bzon|m.10560 Ccap|XP_004533694.1
orth2427: Afra|m.13886 Aobl|m.13076 Asus|M.13886_R0 Bcor|m.25520 Bcur|XP_011187547.1 Bdor|XP_011198377.1 Bjar|m.2465 Blat|m.30603 Bmin|m.9505 Bole|XP_014089006.1 Btry|M.30603_R0 Bzon|m.30848 Ccap|XP_012161793.1
orth2428: Afra|m.13970 Aobl|m.12196 Asus|M.13970_R0 Bcor|m.28563 Bcur|XP_011186553.1 Bdor|XP_011214014.1 Bjar|m.11780 Blat|m.37368 Bmin|m.15147 Bole|XP_014102668.1 Btry|M.37368_R0 Bzon|m.2570 Ccap|XP_004522786.1
orth2429: Afra|m.14068 Aobl|m.24998 Asus|M.14068_R0 Bcor|m.32788 Bcur|XP_011182710.1 Bdor|XP_011214433.1 Bjar|m.16912 Blat|m.37655 Bmin|m.5988 Bole|XP_014102696.1 Btry|M.37655_R0 Bzon|m.54663 Ccap|XP_004519302.1
orth2432: Afra|m.14209 Aobl|m.23759 Asus|M.14209_R0 Bcor|m.7414 Bcur|XP_011190740.1 Bdor|XP_011197776.1 Bjar|m.24524 Blat|m.19574 Bmin|m.2495 Bole|XP_014090625.1 Btry|M.19574_R0 Bzon|m.20097 Ccap|XP_004521438.1
orth2433: Afra|m.14249 Aobl|m.4214 Asus|M.14249_R0 Bcor|m.50021 Bcur|XP_011188953.1 Bdor|XP_011212175.1 Bjar|m.1484 Blat|m.16423 Bmin|m.13155 Bole|XP_014091899.1 Btry|M.16423_R0 Bzon|m.13483 Ccap|XP_004530502.1
orth2437: Afra|m.14443 Aobl|m.6519 Asus|M.14443_R0 Bcor|m.16626 Bcur|XP_011194855.1 Bdor|XP_011203714.1 Bjar|m.14647 Blat|m.8648 Bmin|m.6473 Bole|XP_014093005.1 Btry|M.8648_R0 Bzon|m.29937 Ccap|XP_004520201.1
orth2438: Afra|m.14488 Aobl|m.15840 Asus|M.14488_R0 Bcor|m.1022 Bcur|XP_011190872.1 Bdor|XP_011199971.1 Bjar|m.20602 Blat|m.2253 Bmin|m.23219 Bole|XP_014100348.1 Btry|M.2253_R0 Bzon|m.35186 Ccap|XP_004518516.1
orth2440: Afra|m.1454 Aobl|m.7263 Asus|M.1454_R0 Bcor|m.19830 Bcur|XP_011183369.1 Bdor|XP_011212688.1 Bjar|m.11314 Blat|m.44412 Bmin|m.10344 Bole|XP_014094596.1 Btry|M.44412_R0 Bzon|m.46695 Ccap|XP_004526808.1
orth2441: Afra|m.14603 Aobl|m.12680 Asus|M.14603_R0 Bcor|m.44932 Bcur|XP_011183337.1 Bdor|XP_011206300.1 Bjar|m.3957 Blat|m.59002 Bmin|m.8775 Bole|XP_014085990.1 Btry|M.59002_R0 Bzon|m.37694 Ccap|XP_004527134.1
orth2442: Afra|m.14637 Aobl|m.20998 Asus|M.14637_R0 Bcor|m.22387 Bcur|XP_011190698.1 Bdor|XP_011213728.1 Bjar|m.24850 Blat|m.20992 Bmin|m.775 Bole|XP_014089713.1 Btry|M.20992_R0 Bzon|m.12238 Ccap|XP_004524223.2
orth2443: Afra|m.14651 Aobl|m.18054 Asus|M.14651_R0 Bcor|m.1485 Bcur|XP_011178198.1 Bdor|XP_011205743.1 Bjar|m.16836 Blat|m.813 Bmin|m.6654 Bole|XP_014093065.1 Btry|M.813_R0 Bzon|m.26664 Ccap|XP_004522037.1
orth2444: Afra|m.14709 Aobl|m.22694 Asus|M.14709_R0 Bcor|m.22971 Bcur|XP_011176502.1 Bdor|XP_011208188.1 Bjar|m.22572 Blat|m.8281 Bmin|m.5224 Bole|XP_014097052.1 Btry|M.8281_R0 Bzon|m.15695 Ccap|XP_004537102.1
orth2445: Afra|m.1476 Aobl|m.16301 Asus|M.1476_R0 Bcor|m.8930 Bcur|XP_011180865.1 Bdor|XP_011206474.1 Bjar|m.2361 Blat|m.733 Bmin|m.16920 Bole|XP_014102123.1 Btry|M.734_R0 Bzon|m.12991 Ccap|XP_012155566.1
orth2449: Afra|m.15207 Aobl|m.25937 Asus|M.15207_R0 Bcor|m.21513 Bcur|XP_011196038.1 Bdor|XP_011213805.1 Bjar|m.13005 Blat|m.41600 Bmin|m.3231 Bole|XP_014094726.1 Btry|M.41600_R0 Bzon|m.30639 Ccap|XP_004525504.1
orth2451: Afra|m.1527 Aobl|m.17716 Asus|M.1527_R0 Bcor|m.17423 Bcur|XP_011176713.1 Bdor|XP_011206645.1 Bjar|m.20525 Blat|m.11448 Bmin|m.14026 Bole|XP_014093454.1 Btry|M.11448_R0 Bzon|m.11663 Ccap|XP_004527292.1
orth2452: Afra|m.1529 Aobl|m.12788 Asus|M.1529_R0 Bcor|m.27490 Bcur|XP_011184151.1 Bdor|XP_011203981.1 Bjar|m.4324 Blat|m.60589 Bmin|m.24378 Bole|XP_014090782.1 Btry|M.60589_R0 Bzon|m.54126 Ccap|XP_004517465.1
orth2453: Afra|m.15295 Aobl|m.21246 Asus|M.15295_R0 Bcor|m.35379 Bcur|XP_011196212.1 Bdor|XP_011201625.1 Bjar|m.23800 Blat|m.64757 Bmin|m.6103 Bole|XP_014094308.1 Btry|M.64757_R0 Bzon|m.40246 Ccap|XP_004525605.1
orth2454: Afra|m.15337 Aobl|m.16885 Asus|M.15337_R0 Bcor|m.10908 Bcur|XP_011195972.1 Bdor|XP_011207357.1 Bjar|m.22727 Blat|m.36485 Bmin|m.4370 Bole|XP_014100720.1 Btry|M.36485_R0 Bzon|m.2354 Ccap|XP_012157242.1
orth2458: Afra|m.15403 Aobl|m.15503 Asus|M.15403_R0 Bcor|m.5650 Bcur|XP_011196305.1 Bdor|XP_011202223.1 Bjar|m.12236 Blat|m.58450 Bmin|m.13160 Bole|XP_014090531.1 Btry|M.58450_R0 Bzon|m.18688 Ccap|XP_012157809.1
orth2460: Afra|m.1545 Aobl|m.1801 Asus|M.1545_R0 Bcor|m.50267 Bcur|XP_011192687.1 Bdor|XP_011202429.1 Bjar|m.11587 Blat|m.16062 Bmin|m.6510 Bole|XP_014096359.1 Btry|M.16062_R0 Bzon|m.50304 Ccap|XP_004526151.1
orth2462: Afra|m.155 Aobl|m.4622 Asus|M.155_R0 Bcor|m.7241 Bcur|XP_011190038.1 Bdor|XP_011207024.1 Bjar|m.25412 Blat|m.34648 Bmin|m.11760 Bole|XP_014089061.1 Btry|M.34648_R0 Bzon|m.4775 Ccap|XP_004536186.1
orth2463: Afra|m.15511 Aobl|m.22998 Asus|M.15511_R0 Bcor|m.48491 Bcur|XP_011191143.1 Bdor|XP_011212424.1 Bjar|m.5034 Blat|m.32747 Bmin|m.20945 Bole|XP_014087090.1 Btry|M.32747_R0 Bzon|m.51970 Ccap|XP_012162483.1
orth2464: Afra|m.15521 Aobl|m.10311 Asus|M.15521_R0 Bcor|m.26169 Bcur|XP_011187505.1 Bdor|XP_011202868.1 Bjar|m.6822 Blat|m.60961 Bmin|m.10558 Bole|XP_014087571.1 Btry|M.60961_R0 Bzon|m.49815 Ccap|XP_004534991.1
orth2467: Afra|m.15665 Aobl|m.21911 Asus|M.15665_R0 Bcor|m.8783 Bcur|XP_011180007.1 Bdor|XP_011199123.1 Bjar|m.11150 Blat|m.45712 Bmin|m.5457 Bole|XP_014095634.1 Btry|M.45712_R0 Bzon|m.7416 Ccap|XP_004521005.1
orth2468: Afra|m.15693 Aobl|m.5624 Asus|M.15693_R0 Bcor|m.8695 Bcur|XP_011176963.1 Bdor|XP_011211795.1 Bjar|m.19191 Blat|m.8275 Bmin|m.719 Bole|XP_014091818.1 Btry|M.8275_R0 Bzon|m.52719 Ccap|XP_004520419.1
orth2470: Afra|m.16040 Aobl|m.2957 Asus|M.16040_R0 Bcor|m.29934 Bcur|XP_011180674.1 Bdor|XP_011200865.1 Bjar|m.15724 Blat|m.2957 Bmin|m.7488 Bole|XP_014099053.1 Btry|M.2957_R0 Bzon|m.33744 Ccap|XP_004519898.1
orth2471: Afra|m.16058 Aobl|m.17272 Asus|M.16058_R0 Bcor|m.39969 Bcur|XP_011177755.1 Bdor|XP_011214736.1 Bjar|m.13111 Blat|m.41589 Bmin|m.13725 Bole|XP_014098161.1 Btry|M.41589_R0 Bzon|m.1789 Ccap|XP_004531032.1
orth2472: Afra|m.16059 Aobl|m.23650 Asus|M.16059_R0 Bcor|m.5146 Bcur|XP_011192207.1 Bdor|XP_011214709.1 Bjar|m.22078 Blat|m.54978 Bmin|m.11152 Bole|XP_014095380.1 Btry|M.54978_R0 Bzon|m.4211 Ccap|XP_004531230.1
orth2473: Afra|m.16085 Aobl|m.21646 Asus|M.16085_R0 Bcor|m.15138 Bcur|XP_011192129.1 Bdor|XP_011202382.1 Bjar|m.25664 Blat|m.58315 Bmin|m.9694 Bole|XP_014102418.1 Btry|M.58315_R0 Bzon|m.6577 Ccap|XP_012156452.1
orth2474: Afra|m.16148 Aobl|m.27187 Asus|M.16148_R0 Bcor|m.20438 Bcur|XP_011195894.1 Bdor|XP_011207419.1 Bjar|m.25208 Blat|m.64414 Bmin|m.18860 Bole|XP_014098750.1 Btry|M.64414_R0 Bzon|m.15812 Ccap|XP_004525422.1
orth2475: Afra|m.16375 Aobl|m.27191 Asus|M.16375_R0 Bcor|m.46059 Bcur|XP_011189712.1 Bdor|XP_011213486.1 Bjar|m.21509 Blat|m.59116 Bmin|m.14050 Bole|XP_014098412.1 Btry|M.59116_R0 Bzon|m.5472 Ccap|XP_004521347.1
orth2476: Afra|m.16403 Aobl|m.19256 Asus|M.16403_R0 Bcor|m.2364 Bcur|XP_011183528.1 Bdor|XP_011201771.1 Bjar|m.23356 Blat|m.23464 Bmin|m.2385 Bole|XP_014096811.1 Btry|M.23464_R0 Bzon|m.50781 Ccap|XP_004533284.1
orth2478: Afra|m.16529 Aobl|m.16656 Asus|M.16529_R0 Bcor|m.9028 Bcur|XP_011179590.1 Bdor|XP_011200179.1 Bjar|m.10639 Blat|m.35285 Bmin|m.9657 Bole|XP_014087168.1 Btry|M.35285_R0 Bzon|m.22558 Ccap|XP_004525217.1
orth2480: Afra|m.16586 Aobl|m.6042 Asus|M.16586_R0 Bcor|m.51876 Bcur|XP_011182217.1 Bdor|XP_011208420.1 Bjar|m.26271 Blat|m.12030 Bmin|m.8699 Bole|XP_014095027.1 Btry|M.12030_R0 Bzon|m.31166 Ccap|XP_004537440.1
orth2481: Afra|m.16598 Aobl|m.19285 Asus|M.16598_R0 Bcor|m.23854 Bcur|XP_011181273.1 Bdor|XP_011202482.1 Bjar|m.19533 Blat|m.24105 Bmin|m.10843 Bole|XP_014087689.1 Btry|M.24104_R0 Bzon|m.20109 Ccap|XP_004526262.1
orth2487: Afra|m.16941 Aobl|m.9193 Asus|M.16941_R0 Bcor|m.33606 Bcur|XP_011190818.1 Bdor|XP_011202145.1 Bjar|m.9719 Blat|m.63453 Bmin|m.1906 Bole|XP_014093836.1 Btry|M.63453_R0 Bzon|m.29364 Ccap|XP_004526441.1
orth2489: Afra|m.16976 Aobl|m.19194 Asus|M.16976_R0 Bcor|m.6696 Bcur|XP_011182421.1 Bdor|XP_011203637.1 Bjar|m.23868 Blat|m.53108 Bmin|m.12729 Bole|XP_014100760.1 Btry|M.53108_R0 Bzon|m.30791 Ccap|XP_004533415.1
orth2495: Afra|m.17167 Aobl|m.11036 Asus|M.17167_R0 Bcor|m.15690 Bcur|XP_011183579.1 Bdor|XP_011210796.1 Bjar|m.7892 Blat|m.2337 Bmin|m.4936 Bole|XP_014093364.1 Btry|M.2337_R0 Bzon|m.48470 Ccap|XP_004530823.1
orth2496: Afra|m.17194 Aobl|m.8787 Asus|M.17194_R0 Bcor|m.17636 Bcur|XP_011195723.1 Bdor|XP_011213091.1 Bjar|m.17622 Blat|m.55150 Bmin|m.5166 Bole|XP_014085136.1 Btry|M.55150_R0 Bzon|m.55111 Ccap|XP_004526943.1
orth2499: Afra|m.17224 Aobl|m.20128 Asus|M.17224_R0 Bcor|m.7201 Bcur|XP_011194127.1 Bdor|XP_011200340.1 Bjar|m.9587 Blat|m.61006 Bmin|m.5997 Bole|XP_014099953.1 Btry|M.61006_R0 Bzon|m.45155 Ccap|XP_004521468.1
orth2500: Afra|m.17230 Aobl|m.12490 Asus|M.17230_R0 Bcor|m.47061 Bcur|XP_011182482.1 Bdor|XP_011209190.1 Bjar|m.6915 Blat|m.1683 Bmin|m.10286 Bole|XP_014089149.1 Btry|M.1683_R0 Bzon|m.50302 Ccap|XP_012156507.1
orth2501: Afra|m.17283 Aobl|m.19353 Asus|M.17283_R0 Bcor|m.32579 Bcur|XP_011192078.1 Bdor|XP_011211495.1 Bjar|m.10465 Blat|m.59554 Bmin|m.11433 Bole|XP_014093509.1 Btry|M.59554_R0 Bzon|m.16551 Ccap|XP_004536134.1
orth2503: Afra|m.17322 Aobl|m.23993 Asus|M.17322_R0 Bcor|m.26600 Bcur|XP_011185420.1 Bdor|XP_011200002.1 Bjar|m.22287 Blat|m.8871 Bmin|m.11650 Bole|XP_014102236.1 Btry|M.8871_R0 Bzon|m.28387 Ccap|XP_004522839.1
orth2505: Afra|m.17493 Aobl|m.7274 Asus|M.17493_R0 Bcor|m.13876 Bcur|XP_011190746.1 Bdor|XP_011199834.1 Bjar|m.3858 Blat|m.21961 Bmin|m.5978 Bole|XP_014089865.1 Btry|M.21961_R0 Bzon|m.46347 Ccap|XP_004533950.1
orth2506: Afra|m.17507 Aobl|m.5262 Asus|M.17507_R0 Bcor|m.1784 Bcur|XP_011191148.1 Bdor|XP_011212420.1 Bjar|m.2762 Blat|m.2294 Bmin|m.22219 Bole|XP_014087135.1 Btry|M.2294_R0 Bzon|m.24163 Ccap|XP_004519300.1
orth2507: Afra|m.17509 Aobl|m.9298 Asus|M.17509_R0 Bcor|m.26995 Bcur|XP_011180617.1 Bdor|XP_011208979.1 Bjar|m.16619 Blat|m.46973 Bmin|m.16041 Bole|XP_014089491.1 Btry|M.46973_R0 Bzon|m.8733 Ccap|XP_004518950.1
orth2508: Afra|m.17516 Aobl|m.3980 Asus|M.17516_R0 Bcor|m.1831 Bcur|XP_011187932.1 Bdor|XP_011209116.1 Bjar|m.23871 Blat|m.4971 Bmin|m.24293 Bole|XP_014096568.1 Btry|M.4971_R0 Bzon|m.27674 Ccap|XP_004534585.1
orth2509: Afra|m.17685 Aobl|m.12507 Asus|M.17685_R0 Bcor|m.11481 Bcur|XP_011187960.1 Bdor|XP_011209091.1 Bjar|m.4169 Blat|m.29880 Bmin|m.6167 Bole|XP_014089223.1 Btry|M.29880_R0 Bzon|m.6688 Ccap|XP_004534568.1
orth2510: Afra|m.17840 Aobl|m.8093 Asus|M.17840_R0 Bcor|m.5590 Bcur|XP_011181361.1 Bdor|XP_011197281.1 Bjar|m.18 Blat|m.16211 Bmin|m.26122 Bole|XP_014095548.1 Btry|M.16211_R0 Bzon|m.24057 Ccap|XP_004520211.1
orth2511: Afra|m.17844 Aobl|m.10190 Asus|M.17844_R0 Bcor|m.48221 Bcur|XP_011180120.1 Bdor|XP_011203953.1 Bjar|m.12786 Blat|m.19934 Bmin|m.890 Bole|XP_014085206.1 Btry|M.19934_R0 Bzon|m.4514 Ccap|XP_004522914.1
