amplicon_ID	loci_ID	amp_start	amp_end	ampInsert_start	ampInsert_end	amp_len	comment
SET4775_11384	orth5561_548-968	28	257	50	234	230	NoDegenerate
SET5884_2574	orth6208_1361-1595	9	234	39	201	226	NoDegenerate
SET5800_4579	orth6152_1516-1803	14	207	41	178	194	NoDegenerate
SET4204_4078	orth5095_1566-2567	17	193	39	162	177	NoDegenerate
SET273_933	orth10491_316-527	15	185	36	162	171	NoDegenerate
SET3905_108767	orth4913_389-1643	169	335	192	309	167	NoDegenerate
SET568_493172	orth2556_0-869	702	854	726	829	153	NoDegenerate
SET3573_303107	orth4736_685-1441	438	578	465	555	141	NoDegenerate
SET2787_3562	orth4236_620-798	24	155	55	130	132	NoDegenerate
SET8209_790	orth7543_1045-1207	16	142	39	111	127	NoDegenerate
SET10268_522	orth9123_652-796	14	139	39	108	126	NoDegenerate
SET6727_2001	orth6727_108-266	19	143	46	116	125	NoDegenerate
SET9049_9508	orth8276_2736-2986	38	228	56	210	191	NoDegenerate
SET6287_4025	orth6469_168-353	22	164	50	134	143	NoDegenerate
SET7600_210857	orth7211_68-584	328	470	346	449	143	NoDegenerate
SET6392_131416	orth6535_1371-2006	191	324	210	306	134	NoDegenerate
SET6532_1774	orth6620_98-303	16	146	39	125	131	NoDegenerate
SET9927_312931	orth8885_2946-3829	476	725	495	700	250	NoDegenerate
SET6619_222017	orth6657_457-1104	302	544	325	517	243	NoDegenerate
SET2479_63499	orth4054_248-811	93	329	114	310	237	NoDegenerate
SET3254_279637	orth4519_0-681	415	640	432	621	226	NoDegenerate
SET4560_10448	orth5431_1381-1657	30	226	53	200	197	NoDegenerate
SET2669_57428	orth4166_331-679	97	274	123	255	178	NoDegenerate
SET5012_21610	orth5692_667-986	51	223	72	200	173	NoDegenerate
SET1020_74775	orth2935_486-1024	116	275	139	253	160	NoDegenerate
SET9098_9413	orth8304_905-1183	31	168	55	146	138	NoDegenerate
SET9696_23558	orth8745_0-269	62	195	88	176	134	NoDegenerate
SET1236_14573	orth3098_2569-2782	73	204	95	178	132	NoDegenerate
SET2795_256121	orth4238_2215-3004	442	569	459	552	128	NoDegenerate
SET3191_579414	orth4483_0-1023	820	944	837	921	125	NoDegenerate
SET4273_376119	orth5130_1034-2473	555	679	576	658	125	NoDegenerate
SET3734_89731	orth4820_495-913	137	386	159	368	250	NoDegenerate
SET318_35039	orth2374_1810-2156	63	324	81	306	262	NoDegenerate
SET412_47077	orth2445_349-716	86	320	110	301	235	NoDegenerate
SET10819_51734	orth9802_1065-1490	85	317	105	296	233	NoDegenerate
SET6854_7573	orth6792_430-777	21	290	45	270	270	NoDegenerate
SET1610_64188	orth3531_582-1229	109	379	132	357	271	NoDegenerate
SET431_69890	orth2462_53-471	103	377	123	351	275	NoDegenerate
SET4118_404697	orth5039_929-1786	541	764	565	744	224	NoDegenerate
SET5085_24965	orth5738_116-497	51	266	70	242	216	NoDegenerate
SET6144_45518	orth6386_785-1099	82	294	108	265	213	NoDegenerate
SET1837_1451638	orth3663_864-3185	2104	2307	2124	2284	204	NoDegenerate
SET5049_28257	orth5713_215-575	50	253	72	229	204	NoDegenerate
SET2578_952496	orth4121_716-2590	1377	1577	1395	1558	201	NoDegenerate
SET5533_20369	orth5987_1723-2021	55	253	75	233	199	NoDegenerate
SET1780_30331	orth3640_1492-1838	62	249	80	230	188	NoDegenerate
SET8683_5128	orth8031_493-736	22	204	46	185	183	NoDegenerate
SET6753_207847	orth6743_890-1482	374	554	395	537	181	NoDegenerate
SET6246_7092	orth6442_881-1166	18	191	45	172	174	NoDegenerate
SET6355_257892	orth6512_254-1350	358	531	385	509	174	NoDegenerate
SET1479_5466	orth3491_232-554	12	184	45	155	173	NoDegenerate
SET7627_53185	orth7227_110-422	106	269	131	246	164	NoDegenerate
SET3741_51829	orth4826_0-1098	85	245	106	225	161	NoDegenerate
SET4960_46605	orth5673_0-555	73	232	99	206	160	NoDegenerate
SET1480_10270	orth3491_604-846	54	205	74	178	152	NoDegenerate
SET6595_10009	orth6653_1259-1530	33	181	53	156	149	NoDegenerate
SET221_8665	orth10410_543-761	48	195	65	175	148	NoDegenerate
SET8328_587725	orth7624_1310-2421	831	978	851	958	148	NoDegenerate
SET10543_10478	orth9498_701-953	47	192	66	172	146	NoDegenerate
SET10956_10413	orth9938_2137-2366	44	189	65	171	146	NoDegenerate
SET8866_9072	orth8171_1720-2151	26	171	46	143	146	NoDegenerate
SET10707_5467	orth9694_201-519	15	158	41	133	144	NoDegenerate
SET10136_125038	orth9032_150-710	237	379	255	358	143	NoDegenerate
SET10269_3648	orth9123_846-1105	41	183	64	162	143	NoDegenerate
SET203_6752	orth10375_1291-1484	41	181	62	158	141	NoDegenerate
SET9374_145161	orth8533_1224-1665	289	426	307	408	138	NoDegenerate
SET10119_15271	orth9021_1752-1977	80	215	97	186	136	NoDegenerate
SET1204_13168	orth3074_459-688	46	181	73	163	136	NoDegenerate
SET9662_2275	orth8725_1047-1222	15	148	44	127	134	NoDegenerate
SET3337_3673	orth4573_132-322	31	163	50	141	133	NoDegenerate
SET5453_38368	orth5948_1463-1766	131	263	148	245	133	NoDegenerate
SET10850_1100	orth9827_587-769	12	143	38	121	132	NoDegenerate
SET2965_12010	orth4342_939-1229	31	161	52	140	131	NoDegenerate
SET229_58220	orth10425_453-875	90	219	111	198	130	NoDegenerate
SET9848_846	orth8836_489-649	15	144	41	126	130	NoDegenerate
SET10892_9807	orth9877_1212-1453	42	170	61	150	129	NoDegenerate
SET673_18530	orth2652_1294-1523	68	195	96	172	128	NoDegenerate
SET3896_861375	orth4910_489-2203	1339	1463	1361	1442	125	NoDegenerate
SET9704_12824	orth8749_2287-2522	60	184	86	167	125	NoDegenerate
SET131_138012	orth10262_574-1105	196	446	213	425	251	DegenerateNeeded
SET1467_16796	orth3482_1779-2453	38	288	55	268	251	DegenerateNeeded
SET2535_175579	orth4092_3461-4145	259	509	276	491	251	DegenerateNeeded
SET3984_3800	orth4962_280-736	22	272	39	246	251	DegenerateNeeded
SET4182_610089	orth5071_872-2479	807	1057	826	1040	251	DegenerateNeeded
SET4659_48559	orth5488_5508-5887	85	335	106	317	251	DegenerateNeeded
SET6085_609278	orth6332_540-1734	853	1103	873	1083	251	DegenerateNeeded
SET7314_85868	orth7059_455-885	133	383	152	360	251	DegenerateNeeded
SET8465_479944	orth7866_3126-4723	673	923	690	900	251	DegenerateNeeded
SET9067_461326	orth8288_0-1371	661	911	678	892	251	DegenerateNeeded
SET8070_2427896	orth7463_2005-6593	3672	3923	3690	3900	252	DegenerateNeeded
SET8306_88061	orth7614_343-769	152	401	169	384	250	DegenerateNeeded
SET10618_4199	orth9584_564-1294	23	275	40	256	253	DegenerateNeeded
SET10954_206277	orth9936_777-1442	325	572	347	553	248	DegenerateNeeded
SET2253_228	orth3915_2055-2322	2	249	34	227	248	DegenerateNeeded
SET2425_94780	orth4020_82-539	143	390	160	368	248	DegenerateNeeded
SET2423_160656	orth4019_2166-2842	256	502	273	483	247	DegenerateNeeded
SET5265_18728	orth5842_0-480	54	308	72	291	255	DegenerateNeeded
SET7360_17825	orth7083_7228-7580	41	287	58	265	247	DegenerateNeeded
SET2577_14403	orth4121_206-666	34	278	53	249	245	DegenerateNeeded
SET6332_31993	orth6485_632-951	62	305	84	286	244	DegenerateNeeded
SET6736_118400	orth6734_0-984	180	437	202	419	258	DegenerateNeeded
SET9121_56986	orth8331_723-1127	88	345	105	326	258	DegenerateNeeded
SET1779_61721	orth3640_1056-1442	100	341	117	319	242	DegenerateNeeded
SET8302_766361	orth7609_0-2172	1018	1259	1041	1240	242	DegenerateNeeded
SET8466_162908	orth7867_0-620	268	527	287	504	260	DegenerateNeeded
SET9876_192686	orth8849_3773-4381	285	526	302	502	242	DegenerateNeeded
SET3543_17750	orth4715_100-452	41	303	58	286	263	DegenerateNeeded
SET577_38068	orth2566_1289-1740	69	307	88	290	239	DegenerateNeeded
SET10504_13743	orth9456_62-404	35	298	53	280	264	DegenerateNeeded
SET6851_5576	orth6790_935-1245	24	287	42	265	264	DegenerateNeeded
SET6768_2619	orth6758_156-458	19	255	37	236	237	DegenerateNeeded
SET317_180720	orth2374_1109-1760	280	515	297	497	236	DegenerateNeeded
SET3211_15929	orth4494_6228-6579	40	275	58	257	236	DegenerateNeeded
SET3912_95229	orth4920_0-393	145	380	171	357	236	DegenerateNeeded
SET508_255257	orth2514_545-1322	421	656	438	632	236	DegenerateNeeded
SET7143_47937	orth6947_93-1432	78	343	95	325	266	DegenerateNeeded
SET7239_10552	orth7016_1572-2199	29	294	49	277	266	DegenerateNeeded
SET10946_106182	orth9929_0-441	191	425	210	405	235	DegenerateNeeded
SET6133_21057	orth6378_994-1687	43	309	65	291	267	DegenerateNeeded
SET10027_1875	orth8945_334-609	20	252	37	234	233	DegenerateNeeded
SET10714_37618	orth9697_1044-1369	86	318	103	286	233	DegenerateNeeded
SET4372_10010	orth5193_1450-1781	24	256	48	233	233	DegenerateNeeded
SET5087_398432	orth5738_547-1378	562	794	582	774	233	DegenerateNeeded
SET7244_33510	orth7016_620-1284	59	291	82	271	233	DegenerateNeeded
SET470_52950	orth2481_727-1362	104	335	123	315	232	DegenerateNeeded
SET9375_340870	orth8533_1715-3233	560	830	580	813	271	DegenerateNeeded
SET10673_8218	orth9651_0-729	25	254	45	234	230	DegenerateNeeded
SET3414_15879	orth4632_0-298	46	275	63	253	230	DegenerateNeeded
SET3633_89022	orth4762_62-632	130	359	150	342	230	DegenerateNeeded
SET4025_194798	orth4990_306-2543	275	504	292	484	230	DegenerateNeeded
SET4129_337300	orth5042_0-739	490	719	510	701	230	DegenerateNeeded
SET6549_310661	orth6628_0-978	439	668	456	651	230	DegenerateNeeded
SET8237_487719	orth7564_0-909	676	904	693	876	229	DegenerateNeeded
SET9096_83249	orth8304_166-657	120	392	143	372	273	DegenerateNeeded
SET6166_90722	orth6397_355-977	141	414	160	397	274	DegenerateNeeded
SET264_933	orth10473_387-639	17	243	35	219	227	DegenerateNeeded
SET4685_28624	orth5495_1406-2042	76	302	96	282	227	DegenerateNeeded
SET8715_130099	orth8053_0-856	181	404	198	384	224	DegenerateNeeded
SET5158_16193	orth5781_350-686	34	256	56	236	223	DegenerateNeeded
SET10180_2153	orth9063_4243-4926	19	240	36	221	222	DegenerateNeeded
SET2035_218015	orth3767_964-1531	310	529	333	507	220	DegenerateNeeded
SET10459_11207	orth9408_0-284	37	255	56	238	219	DegenerateNeeded
SET2544_49913	orth4100_0-468	88	305	105	288	218	DegenerateNeeded
SET709_4272	orth2668_379-643	28	245	45	223	218	DegenerateNeeded
SET8633_27167	orth7993_0-801	48	260	78	240	213	DegenerateNeeded
SET853_10569	orth2782_1317-1581	36	247	55	229	212	DegenerateNeeded
SET6278_13930	orth6466_1237-2015	28	237	52	215	210	DegenerateNeeded
SET10352_15781	orth9298_418-708	55	263	72	245	209	DegenerateNeeded
SET164_65033	orth10315_1281-1727	129	334	146	307	206	DegenerateNeeded
SET4011_125848	orth4984_5844-6440	196	401	213	384	206	DegenerateNeeded
SET2180_43572	orth3862_768-1245	82	286	106	267	205	DegenerateNeeded
SET10353_7064	orth9298_57-368	27	230	46	213	204	DegenerateNeeded
SET277_119460	orth10502_0-657	169	371	195	354	203	DegenerateNeeded
SET3430_1667	orth4647_1018-1368	11	213	36	193	203	DegenerateNeeded
SET4626_55037	orth5478_332-823	146	345	165	323	200	DegenerateNeeded
SET681_321404	orth2652_320-1077	450	649	468	629	200	DegenerateNeeded
SET9643_80964	orth8720_614-1289	139	338	156	320	200	DegenerateNeeded
SET2815_1356	orth4267_0-341	6	203	35	185	198	DegenerateNeeded
SET6068_882868	orth6315_1805-3454	1325	1521	1345	1503	197	DegenerateNeeded
SET6656_304589	orth6686_1306-2041	445	641	467	612	197	DegenerateNeeded
SET7828_50378	orth7341_299-640	90	286	108	268	197	DegenerateNeeded
SET5898_504872	orth6213_323-1362	724	919	741	901	196	DegenerateNeeded
SET4179_5025	orth5071_0-243	31	225	50	207	195	DegenerateNeeded
SET2531_30981	orth4091_152-438	79	272	99	252	194	DegenerateNeeded
SET813_15087	orth2751_455-709	60	252	77	220	193	DegenerateNeeded
SET7328_1457	orth7068_53-312	13	201	36	180	189	DegenerateNeeded
SET1021_1787	orth2936_2741-2992	18	205	37	180	188	DegenerateNeeded
SET3001_39487	orth4368_3489-3904	74	261	91	241	188	DegenerateNeeded
SET7827_16046	orth7341_1086-1375	44	231	63	214	188	DegenerateNeeded
SET908_7771	orth2819_796-1148	15	202	44	182	188	DegenerateNeeded
SET2284_157182	orth3940_53-644	250	434	267	411	185	DegenerateNeeded
SET10139_41290	orth9037_597-1094	71	254	90	231	184	DegenerateNeeded
SET1356_309819	orth3180_1044-1786	504	687	526	663	184	DegenerateNeeded
SET1856_13940	orth3673_2022-2295	46	229	63	211	184	DegenerateNeeded
SET3832_1340	orth4878_0-475	16	199	35	182	184	DegenerateNeeded
SET6216_53532	orth6429_590-916	102	282	123	264	181	DegenerateNeeded
SET8634_198469	orth7993_851-1424	289	467	312	450	179	DegenerateNeeded
SET9642_233284	orth8720_1339-2044	331	509	349	492	179	DegenerateNeeded
SET6262_1537	orth6458_2225-2437	15	192	38	173	178	DegenerateNeeded
SET10419_166856	orth9364_168-834	243	419	263	397	177	DegenerateNeeded
SET6748_488	orth6738_708-918	15	191	35	166	177	DegenerateNeeded
SET261_363947	orth10469_0-801	493	668	515	643	176	DegenerateNeeded
SET4681_266057	orth5491_2309-2930	382	557	399	540	176	DegenerateNeeded
SET4967_8654	orth5677_1996-2227	34	209	55	179	176	DegenerateNeeded
SET5567_843086	orth5998_890-4175	1180	1355	1199	1338	176	DegenerateNeeded
SET8376_12820	orth7659_1483-2124	36	211	54	194	176	DegenerateNeeded
SET8853_26866	orth8162_477-768	94	269	112	251	176	DegenerateNeeded
SET8099_2845	orth7472_609-814	20	193	43	166	174	DegenerateNeeded
SET2259_25238	orth3918_1119-1399	84	256	101	235	173	DegenerateNeeded
SET5871_14837	orth6202_138-391	60	232	77	212	173	DegenerateNeeded
SET7754_138	orth7304_1544-1751	10	182	34	163	173	DegenerateNeeded
SET10301_4115	orth9248_859-1073	29	200	47	181	172	DegenerateNeeded
SET155_248	orth10297_2517-2710	10	181	34	160	172	DegenerateNeeded
SET3923_18352	orth4928_645-942	46	217	63	195	172	DegenerateNeeded
SET7048_158015	orth6892_0-456	241	412	258	394	172	DegenerateNeeded
SET6339_21279	orth6492_387-654	67	236	87	213	170	DegenerateNeeded
SET6449_11576	orth6575_846-1076	34	202	66	185	169	DegenerateNeeded
SET6989_6262	orth6862_302-1079	25	193	43	173	169	DegenerateNeeded
SET8982_6563	orth8242_357-827	24	192	42	173	169	DegenerateNeeded
SET586_249	orth2573_483-693	15	182	34	162	168	DegenerateNeeded
SET5338_1265	orth5879_941-1143	16	182	38	162	167	DegenerateNeeded
SET8267_12404	orth7587_0-417	31	197	50	179	167	DegenerateNeeded
SET6690_6365	orth6706_454-709	33	198	51	180	166	DegenerateNeeded
SET7614_12055	orth7221_0-384	31	195	51	177	165	DegenerateNeeded
SET4390_4216	orth5204_528-723	27	189	50	162	163	DegenerateNeeded
SET5841_8368	orth6176_0-468	28	188	45	168	161	DegenerateNeeded
SET9629_840	orth8708_1746-1968	17	177	36	156	161	DegenerateNeeded
SET1672_124848	orth3562_427-970	192	350	210	333	159	DegenerateNeeded
SET2376_195550	orth4000_735-1287	280	438	301	415	159	DegenerateNeeded
SET3524_403	orth4704_94-380	13	171	34	147	159	DegenerateNeeded
SET5774_79159	orth6136_383-795	175	333	196	315	159	DegenerateNeeded
SET10705_3555	orth9694_1433-1653	31	188	51	170	158	DegenerateNeeded
SET10933_21634	orth9919_1780-2029	70	227	93	207	158	DegenerateNeeded
SET1583_41992	orth3526_1282-2626	77	234	94	214	158	DegenerateNeeded
SET2627_76572	orth4150_0-460	127	284	144	266	158	DegenerateNeeded
SET10739_6329	orth9716_2112-2315	37	193	59	167	157	DegenerateNeeded
SET4573_88837	orth5437_227-587	152	308	176	286	157	DegenerateNeeded
SET7349_117	orth7081_425-613	15	171	34	153	157	DegenerateNeeded
SET7020_1055	orth6877_0-223	12	167	36	147	156	DegenerateNeeded
SET1013_101554	orth2923_57-459	228	382	248	365	155	DegenerateNeeded
SET10859_44610	orth9836_548-839	108	262	125	237	155	DegenerateNeeded
SET120_9638	orth10223_1638-1932	34	188	51	171	155	DegenerateNeeded
SET2917_175218	orth4322_1041-1836	261	415	284	386	155	DegenerateNeeded
SET4437_44162	orth5231_2514-2847	73	227	97	204	155	DegenerateNeeded
SET4836_1083	orth5595_1558-1761	18	172	37	155	155	DegenerateNeeded
SET933_237926	orth2846_245-1025	346	500	365	482	155	DegenerateNeeded
SET10266_186	orth9123_1432-1609	13	166	34	143	154	DegenerateNeeded
SET2826_48797	orth4271_2531-2930	79	231	112	211	153	DegenerateNeeded
SET6164_17094	orth6396_427-662	81	232	100	202	152	DegenerateNeeded
SET6883_200	orth6807_133-305	11	160	34	136	150	DegenerateNeeded
SET5723_3942	orth6107_536-745	29	177	47	159	149	DegenerateNeeded
SET5984_2259	orth6267_1948-2152	23	171	41	141	149	DegenerateNeeded
SET5554_1030	orth5993_464-642	19	166	39	143	148	DegenerateNeeded
SET5664_1526	orth6074_993-1271	14	161	36	140	148	DegenerateNeeded
SET3859_19572	orth4892_474-1771	41	186	59	166	146	DegenerateNeeded
SET9705_323615	orth8749_2572-3619	475	620	492	603	146	DegenerateNeeded
SET6012_4689	orth6281_477-709	28	171	45	150	144	DegenerateNeeded
SET10062_47829	orth8971_1282-1589	128	270	149	246	143	DegenerateNeeded
SET10936_1199	orth9921_1496-1680	34	176	51	150	143	DegenerateNeeded
SET5059_126261	orth5720_122-521	223	365	240	348	143	DegenerateNeeded
SET202_5619	orth10375_1062-1241	26	167	59	145	142	DegenerateNeeded
SET8559_79	orth7945_114-269	14	155	34	122	142	DegenerateNeeded
SET4660_1839	orth5488_5937-6126	36	176	53	156	141	DegenerateNeeded
SET6285_73	orth6469_1146-1300	2	142	35	111	141	DegenerateNeeded
SET10761_48490	orth9742_0-459	91	230	108	212	140	DegenerateNeeded
SET220_1135	orth10410_311-493	25	164	44	144	140	DegenerateNeeded
SET3150_530968	orth4457_111-1445	750	889	767	872	140	DegenerateNeeded
SET6190_2916	orth6417_0-290	22	161	39	143	140	DegenerateNeeded
SET6426_1779	orth6564_1260-1467	13	152	39	127	140	DegenerateNeeded
SET6540_2545	orth6623_935-1148	16	155	41	138	140	DegenerateNeeded
SET77_21882	orth10136_1834-2121	69	208	88	185	140	DegenerateNeeded
SET10746_57557	orth9723_2067-2556	102	240	119	214	139	DegenerateNeeded
SET4980_6602	orth5682_1109-1361	23	161	47	133	139	DegenerateNeeded
SET6162_163	orth6396_1329-1494	16	154	34	132	139	DegenerateNeeded
SET10348_1065	orth9292_812-1064	18	155	36	126	138	DegenerateNeeded
SET9698_149	orth8745_490-659	16	153	34	127	138	DegenerateNeeded
SET1191_27631	orth3068_1074-1526	55	191	72	169	137	DegenerateNeeded
SET130_19936	orth10262_1395-1632	71	207	93	189	137	DegenerateNeeded
SET3919_86174	orth4926_496-893	144	280	161	263	137	DegenerateNeeded
SET6786_228068	orth6774_896-1447	366	502	387	480	137	DegenerateNeeded
SET3119_608	orth4430_681-861	30	165	47	145	136	DegenerateNeeded
SET7771_22032	orth7315_1247-1487	74	208	102	187	135	DegenerateNeeded
SET8318_8825	orth7618_3212-3413	43	177	72	158	135	DegenerateNeeded
SET8970_7248	orth8236_968-1195	33	167	55	144	135	DegenerateNeeded
SET9499_1014	orth8617_1105-1280	22	156	39	138	135	DegenerateNeeded
SET10248_201	orth9113_944-1105	15	148	35	115	134	DegenerateNeeded
SET6300_12223	orth6472_3027-3249	40	173	69	156	134	DegenerateNeeded
SET7123_21043	orth6935_601-862	70	203	90	180	134	DegenerateNeeded
SET7955_152228	orth7400_1022-1498	227	360	246	337	134	DegenerateNeeded
SET4029_21549	orth4992_398-967	46	178	64	161	133	DegenerateNeeded
SET5721_961	orth6107_1702-1864	22	154	41	127	133	DegenerateNeeded
SET10934_983	orth9921_1017-1180	26	157	45	130	132	DegenerateNeeded
SET1427_164	orth3454_303-486	14	145	34	121	132	DegenerateNeeded
SET5757_5785	orth6123_843-1077	35	166	52	148	132	DegenerateNeeded
SET1387_3842	orth3437_205-400	28	158	52	136	131	DegenerateNeeded
SET5812_362266	orth6159_605-1372	601	731	621	714	131	DegenerateNeeded
SET7002_38837	orth6866_746-1089	83	213	100	194	131	DegenerateNeeded
SET7347_59	orth7079_1953-2114	17	147	34	128	131	DegenerateNeeded
SET8767_1176	orth8091_948-1122	19	149	40	130	131	DegenerateNeeded
SET433_345786	orth2463_3252-4336	474	603	491	581	130	DegenerateNeeded
SET6747_10435	orth6738_414-658	48	177	66	159	130	DegenerateNeeded
SET2572_188	orth4118_841-997	13	141	35	123	129	DegenerateNeeded
SET3285_1512	orth4537_0-192	52	180	69	159	129	DegenerateNeeded
SET4561_10760	orth5431_1707-1912	66	194	83	171	129	DegenerateNeeded
SET10126_29567	orth9023_756-1145	63	190	80	170	128	DegenerateNeeded
SET10962_10085	orth9941_1408-1642	95	222	112	201	128	DegenerateNeeded
SET1145_35284	orth3040_566-857	94	221	111	201	128	DegenerateNeeded
SET1690_1051090	orth3573_113-1844	1555	1682	1575	1665	128	DegenerateNeeded
SET216_18719	orth10394_1043-1328	58	185	76	166	128	DegenerateNeeded
SET2865_59582	orth4284_240-546	170	297	192	272	128	DegenerateNeeded
SET4804_350	orth5574_2692-2842	7	134	37	116	128	DegenerateNeeded
SET6597_1878	orth6653_549-713	33	160	52	128	128	DegenerateNeeded
SET9461_1519	orth8593_4449-4601	20	147	49	118	128	DegenerateNeeded
SET981_1062	orth2888_120-290	24	151	41	131	128	DegenerateNeeded
SET228_116661	orth10425_0-403	221	347	242	329	127	DegenerateNeeded
SET6992_68845	orth6863_875-1349	129	255	147	238	127	DegenerateNeeded
SET10354_12664	orth9300_433-696	52	177	71	153	126	DegenerateNeeded
SET1059_2824	orth2958_1035-1304	21	145	39	126	125	DegenerateNeeded
SET6338_15395	orth6492_2536-2752	70	194	99	173	125	DegenerateNeeded
SET9547_19094	orth8663_759-988	79	203	101	186	125	DegenerateNeeded
